Bottle,Price,Rating,Region,sweet,oak,vanilla,sherry,caramel,cinnamon,wood,honey,chocolate,orange,rich,spicy,bitter,toffee,fruity,citrus,floral
Balcones Baby Blue,55,80.5,American,,,,,,,,,,,,,,,,,
Balcones Brimstone,65,79.18181818,American,4,4,,,,1,,,,2,,,,,,,
Balcones Texas Single Malt,60.66666667,85.375,American,18,4,3,,2,1,4,1,,,4,,,,,2,
High West Bourye,41.01428571,88.42857143,American,,,3,,2,,2,,,,,,,,,,
High West Campfire,40.90545455,88.46666667,American,4,3,3,,3,2,2,2,,3,,,2,,,,2
High West Son of Bourye,40.66666667,86,American,,1,,,,1,,,,,,,,,,,1
Seagram's Seven Crown,16,58,American,3,4,4,,,,2,,,,,,,,,,
Wild Turkey Forgiven,49.16666667,80.16666667,American,,1,2,,1,2,,,,,,,,,,,
Overeem Port Cask Cask Strength,150,85.66666667,Australia,,4,,,2,,5,1,,1,,1,,,,,4
Ballantine's Finest,17.05333333,71.85714286,Blend,1,,2,,,,,,,,,,,,,,
Black Bottle,20.02916667,76.25,Blend,20,14,9,4,13,,6,10,1,4,2,2,13,3,5,3,3
Black Bottle,19.375,80.11111111,Blend,2,2,,2,,,,,,,,,,,,,
Black Grouse,26.4,70.25,Blend,,,3,,,,,2,,,,4,,,2,,
Buchanan's 12 De Luxe,30.25,77.5,Blend,1,,,,1,,,1,,,,,,,,,
Chivas Regal 12,23.06173913,69.41860465,Blend,,1,,,2,,,,,2,,4,1,,,,
Compass Box Asyla,43.42857143,76.28571429,Blend,4,7,3,,,,,3,,,,,,,,,6
Compass Box Flaming Heart,67.08333333,89.33333333,Blend,,14,,,,2,,,,,4,2,,,,,
Compass Box Great King St. Artist's Blend,31.99111111,80.46153846,Blend,,2,2,2,,,,,,,,,,,,,4
Compass Box Hedonism,78.08888889,78.81818182,Blend,,,,,,,,,,,,,,,,,
Compass Box Oak Cross,46.69125,79.5625,Blend,1,4,,,,,,,,,,,2,3,2,,
Compass Box Peat Monster,51,80.55555556,Blend,4,,,,1,,,,3,,,,,,,,
Compass Box Spice Tree,51.88,81.03571429,Blend,,,,,,,,,,1,,1,,,2,,
Cutty Sark,18.69444444,63.73333333,Blend,,,,,2,,3,,,,,,2,,,4,
Dewar's 12,22.57833333,78.83333333,Blend,2,,1,,,,,2,,,2,,,,,,2
Dewar's White Label,17.70833333,59.125,Blend,,,,,,,1,,,,,,,,,,
Dimple Pinch 15,31.25,73.5,Blend,2,,,,,,,,,,,,,,1,,
Famous Grouse,20.42,75.72727273,Blend,,,,8,,,,,2,,,,,,2,,
Grant's Family Reserve,15.21166667,68.85714286,Blend,,,,,,,,,,,,,,,,,
Isle of Skye 8 Ian Macleod,21.644,73.85714286,Blend,5,,1,,,,,4,,,,3,,,,,
J&B Rare,15.33333333,45.33333333,Blend,4,,1,,,1,,,,,,,,,2,,
Johnnie Walker Black Label,30.55326087,77.82666667,Blend,1,,,,2,,2,1,,,,,4,,,,
Johnnie Walker Blue Label,157.125,78.94736842,Blend,,,,,,,,,,1,,1,1,,2,1,
Johnnie Walker Double Black,33.20571429,78.93333333,Blend,2,,,3,,,,3,,,,,,,,,
Johnnie Walker Gold Label,73.5,80.3,Blend,,,,,,,,1,,,,,,,,1,
Johnnie Walker Green Label,51.00694444,83.91071429,Blend,1,,,,,,,,3,1,,,,,,,
Johnnie Walker Platinum Label,79.53333333,77,Blend,12,3,4,1,7,3,2,5,3,,,,2,2,,2,4
Johnnie Walker Red Label,21.02857143,47.5106383,Blend,2,,,,,,1,,,,,,,,,,
Mackinlay's Shackleton Rare Old Highland Malt Whisky,113.6,84.66666667,Blend,,2,2,,,,,,,,,,,,2,2,
Monkey Shoulder,33.0676,76.4516129,Blend,,2,8,,,,,,,,,,,,,6,1
Pig's Nose,26.335,77.6,Blend,1,,,,2,,,,,,,,,,,,
Sheep Dip,38.75,81.77777778,Blend,,,,4,,1,4,2,,,,,2,,,,2
Té Bheag,10.91333333,82.9,Blend,,3,,,,,1,,,,,,,,3,,
Teacher's Highland Cream,19.055,72.33333333,Blend,,,,,,,,,,,,,,,,,
1792 Ridgemont Reserve,22.204,82.45454545,Bourbon,,4,,,3,2,2,,,2,,,4,,,,
Angel's Envy,44.18181818,83,Bourbon,,,,,,,,,,,,,,,,,
Angel's Envy Cask Strength,180,87.28571429,Bourbon,6,4,,,2,,,,,,,,10,,,,
Baker's 107,36.75,81.8,Bourbon,,,2,,1,1,,,,3,,,,,,,
Basil Hayden,24.17333333,81.1,Bourbon,3,9,3,,7,2,,,,2,5,4,,,2,3,
Black Maple Hill,41.28571429,80.41666667,Bourbon,9,1,,,,2,2,,1,5,,,,,,,
Blanton's Original Single Barrel,38.82826087,86.68571429,Bourbon,57,43,56,,39,25,34,14,3,29,12,11,3,4,6,9,2
Blanton's Straight from the Barrel,80,91.42857143,Bourbon,6,4,9,,3,2,,1,,9,,,1,,2,,
